# dataset B: 12440 rows, 3063 chemical families. data/datasetB_featurized.npz rows (Tc>0 subset of data/supercon_stanev.csv); family = `groups` field.
# fold_deterministic = GroupKFold(5) (no shuffle, published protocol); fold_seedS = GroupKFold(5, shuffle=True,
#   random_state=S); random_fold_seedS = KFold(5, shuffle=True, random_state=S). scikit-learn 1.7.2,
#   pandas 2.3.2, numpy 2.3.3. Generated by code/v2/make_splits.py.
# GroupKFold breaks size ties by the ORDER of the integer family codes (pandas.factorize order of first
#   appearance), so the fold assignment depends on the code order, not only on the family partition.
#   These indices, not just the procedure, are the reference. Read with pandas.read_csv(..., comment='#').
row_index,family_id,family_key,fold_deterministic,fold_seed0,fold_seed1,fold_seed2,fold_seed3,fold_seed4,random_fold_seed0,random_fold_seed1,random_fold_seed2,random_fold_seed3,random_fold_seed4,fold_deterministic_v1_prefilter_codes
1692,1001,Bi|Pt|Sb,3,2,3,4,2,3,2,2,4,4,0,1
1693,1002,Fe|Lu|Sc|Si,0,0,1,3,2,1,2,4,1,2,2,3
1694,745,Nb|Pb|S,4,0,1,2,2,2,2,4,2,4,0,3
1695,1003,Ba|Pt|Si,0,0,3,0,4,0,2,4,1,4,0,2
1696,153,Ba|Cu|Ni|O|Y,1,4,4,4,2,1,2,4,0,1,3,1
1697,1004,Ge|Ni|Pd|Sr,1,4,0,0,2,4,3,2,4,4,4,1
1698,42,Cu|La|O|Sr|Zn,1,2,4,4,3,1,3,3,1,3,4,1
1699,1005,La|Ni|P,4,0,2,2,3,2,3,4,0,4,3,2
1700,93,La|Ru,1,4,1,0,3,4,2,2,1,4,3,3
1701,1006,Cu|Rh|Se|Sn,0,4,2,1,2,3,2,2,3,3,1,1
1702,689,Ba|Bi|K|O|Pb,1,2,1,2,1,3,2,2,0,4,4,0
1703,1007,B|La|N|Pt,3,4,3,3,0,1,3,0,0,1,4,3
1704,242,Ba|Cu|La|O|Sr,2,0,1,1,4,2,1,4,3,1,1,4
1705,167,Ir|Lu|Sc|Si,0,3,2,4,4,3,2,2,1,4,0,2
1706,1008,As|Ba|Fe|Ir,1,2,3,1,1,3,0,4,2,3,2,1
1707,434,Re|Ta,1,2,2,4,4,0,4,3,0,3,0,1
1708,1009,Ba|Cu|Dy|Fe|O|Sr,2,0,1,4,1,4,2,3,3,2,3,4
1709,605,Ba|Cu|O|Pr|Sr|Yb,1,4,0,3,1,2,3,3,1,4,1,4
1710,1010,K|Mo|S,1,1,0,4,4,2,1,0,2,0,3,0
1711,224,Ce|Cu|La|Nd|O,3,0,0,4,2,0,4,0,1,1,3,2
1712,1011,Ce|Ga|V,4,4,1,0,0,1,1,3,1,4,2,0
1713,5,Al|Ga|V,3,2,3,4,0,2,3,4,0,3,2,2
1714,671,Ge|Mo,3,4,0,0,1,1,1,2,4,1,0,1
1715,65,Ba|Bi|K|O,3,2,0,2,0,0,1,0,1,0,3,3
1716,1012,Ba|C|Cu|N|O|Sr|Tl,2,1,1,0,3,3,4,1,0,3,3,3
1717,1013,Al|Nb,1,0,2,4,2,3,4,1,4,0,2,0
1718,911,Ba|Cu|Lu|O|Pr,2,3,0,2,0,3,1,0,0,2,3,3
1719,351,Ba|Cu|Hg|O,0,1,0,3,3,4,3,2,1,4,3,2
1720,1008,As|Ba|Fe|Ir,1,2,3,1,1,3,4,0,3,2,2,1
1721,317,Ba|Cu|O|Sm|Zn,4,0,4,0,0,1,2,2,3,2,4,1
1722,246,Bi|K|O,0,4,4,1,0,3,1,4,2,2,0,3
1723,675,Ba|Cu|O|Sm,0,0,0,2,2,0,3,1,2,2,0,0
1724,524,Os|Re,2,3,4,2,4,3,4,3,4,3,3,3
1725,964,Hf|Nb,3,1,4,0,4,1,4,3,3,3,1,1
1726,533,Ge|La|Ni,4,0,1,4,1,3,0,4,3,0,3,1
1727,1014,Bi|Ce|Pb|Te,0,0,3,2,0,2,2,2,1,2,2,1
1728,1015,As|F|Fe|O|P|Sm,3,0,1,2,2,1,2,1,2,3,4,1
1729,224,Ce|Cu|La|Nd|O,3,0,0,4,2,0,0,0,3,0,1,2
1730,559,B|C|Mg,0,3,1,1,2,2,0,2,2,2,4,3
1731,1016,Ba|Cu|Mo|O|Sr|Y,0,3,1,4,3,0,4,0,3,3,3,3
1732,1017,Ba|Ca|Cu|Lu|O,1,0,2,3,3,0,2,1,2,1,4,4
1733,1018,La|Mo|Se,2,1,4,2,3,3,1,4,3,2,4,4
1734,1019,Ce|Cu|La|O,0,3,4,3,4,1,4,3,0,0,0,0
1735,276,Ca|Cu|O|Sr,0,0,3,4,4,0,2,1,2,1,3,0
1736,1020,Ge,2,4,0,3,0,0,2,2,0,1,2,2
1737,457,Ca|Cu|La|O|Sr,0,0,1,2,2,2,2,3,0,3,0,1
1738,1021,Ca|O|Sr|Ti,2,2,0,1,3,0,0,2,4,4,0,3
1739,749,C|Ca|Cu|O|Sr|Y,2,4,1,1,1,4,3,0,3,3,4,4
1740,1022,F|Li|O|Rb|W,1,4,4,1,3,0,4,0,2,0,3,2
1741,542,Bi|Cu|La|O|Sr,1,3,4,1,2,1,1,4,1,3,0,2
1742,1023,Ce|Pr|Ru,0,0,3,2,4,2,2,3,1,2,0,4
1743,286,Ba|Cu|O|Pr|Y,3,1,2,0,3,0,1,2,3,0,4,3
1744,1024,C|Mo|Ru,3,3,3,4,4,4,3,3,2,0,3,1
1745,1025,Ga|Mn|Nb,1,1,4,0,2,4,4,1,3,1,0,2
1746,552,Ba|Cu|O|Y|Yb,2,3,4,2,2,4,0,2,2,1,3,0
1747,348,B|C|Lu|Ni,1,4,1,3,3,4,4,3,3,1,4,1
1748,114,Cu|O|Sr|Y,4,3,4,2,2,3,1,1,1,3,4,4
1749,207,Ce|La,4,4,2,3,2,4,3,0,3,3,2,2
1750,1026,Bi|Nd|Ni,1,2,0,2,0,4,0,1,4,0,1,0
1751,42,Cu|La|O|Sr|Zn,1,2,4,4,3,1,0,2,0,4,2,1
1752,142,Br|C|I|Y,2,2,2,0,2,4,2,3,0,3,4,0
1753,89,In|Pb|Sn|Te,1,2,1,2,3,2,0,0,4,4,2,1
1754,1027,C|Y|Zr,3,0,1,2,0,3,1,3,2,2,0,3
1755,382,Bi|Ca|Cu|Hg|O|Sr,1,3,0,1,2,0,1,1,0,0,4,0
1756,1028,Fe|K|S|Se,2,4,1,1,0,0,0,1,2,0,2,0
1757,351,Ba|Cu|Hg|O,0,1,0,3,3,4,3,3,2,1,3,2
1758,1029,Ce|La|Sn,3,2,3,4,3,0,4,1,1,4,3,3
1759,558,Br|C|Cl|Y,3,1,0,2,0,3,1,1,4,2,1,2
1760,564,Mo|S|Se,1,1,4,1,3,3,2,2,1,2,4,4
1761,1030,P|Pd,1,1,1,4,2,4,1,2,4,4,4,3
1762,64,Ba|Cu|O|Y|Zn,1,1,2,4,3,2,3,1,2,1,4,1
1763,152,Ba|Cu|O|Sr|Y,2,2,4,0,3,2,2,4,0,0,0,0
1764,1028,Fe|K|S|Se,2,4,1,1,0,0,2,1,0,0,4,0
1765,251,Mo|Ti,2,1,3,3,4,3,0,3,4,1,0,0
1766,1031,Ce|Ru|Y,0,3,4,1,1,1,0,2,2,3,1,0
1767,955,Ir|Ru,2,2,0,0,3,1,3,3,1,1,4,2
1768,29,Ca|Hg,3,3,3,4,4,0,1,1,3,4,2,2
1769,1032,Ba|Cu|Dy|Fe|O,4,1,0,3,1,3,3,4,3,0,3,2
1770,9,Nb|Sn|Tl,3,0,3,4,4,4,3,2,4,1,2,2
1771,1033,As|Fe|O|Pr|Sb|Sr,2,4,4,4,4,1,2,2,3,3,4,1
1772,54,Nb|Ta,1,2,0,0,3,2,2,3,2,1,2,0
1773,1034,In|S|V,1,3,2,3,2,4,4,1,3,0,0,4
1774,1035,As|La|Ni|O,0,3,2,3,0,1,1,3,4,4,4,1
1775,1036,Ru|Si|Y,4,2,0,1,1,2,0,4,2,2,4,0
1776,1037,As|Ce|Co|Fe|H,1,1,2,3,0,2,4,2,1,2,1,3
1777,1038,C|H|K|N,1,0,1,2,1,4,4,0,2,0,1,2
1778,651,Ir|Os|Rh,0,1,4,2,4,2,2,4,0,3,0,1
1779,1039,B|C|Ni|Ru|Y,4,2,1,3,4,2,4,3,4,3,2,3
1780,1040,Ge|Te,2,4,2,2,1,0,3,3,3,4,0,2
1781,1041,Ce|Si|V,4,0,0,0,1,3,4,3,2,2,4,4
1782,1042,Co|Pd|Sb,0,0,4,2,0,1,4,3,3,4,4,3
1783,428,Ba|Cu|O|Sr|Yb,1,4,0,4,3,2,0,3,1,2,1,4
1784,1043,Pt|Si|Ta,4,0,1,3,0,3,2,2,4,1,2,4
1785,323,B|Mg|Na,0,4,2,1,3,0,0,2,1,3,4,3
1786,486,Ba|Ca|Cu|Nd|O|Pr,1,1,1,2,1,0,3,4,4,2,3,2
1787,298,As|Fe|H|O|P|Sm,3,0,2,4,1,2,3,3,1,1,3,4
1788,379,Ce|In|Ir|Rh,0,1,4,3,1,0,1,3,2,3,3,4
1789,1044,Fe|Rb|Se|Tl,4,0,0,2,1,3,0,2,1,2,4,4
1790,1045,Ni|Se|Tl,4,2,0,4,4,1,2,0,3,3,1,4
1791,1046,B|C|Lu|Ni|V,1,4,4,1,0,1,1,2,3,3,3,4
1792,473,Ba|Ca|Cu|O|Sr|Yb,2,2,0,1,4,2,4,3,0,4,1,2
1793,542,Bi|Cu|La|O|Sr,1,3,4,1,2,1,2,1,4,1,4,2
1794,46,As|Ba|Co|Fe|Zn,1,3,3,2,1,3,3,2,1,3,3,3
1795,1047,Ba|Ca|Cu|Dy|O|Zn,2,0,3,4,1,4,3,4,2,1,0,0
1796,1048,C|Rb,3,4,3,2,1,1,1,3,0,0,2,1
1797,905,Cu|La|Nd|O,0,1,4,3,2,3,1,1,1,4,1,1
1798,1049,C|Cu|La|Ni,2,1,4,4,1,1,3,4,3,3,3,4
1799,1050,Ba|Ca|Cu|Ho|O,2,2,0,1,2,4,4,4,1,1,4,4
1800,1051,Al|Ta,2,0,1,2,1,4,2,2,0,2,0,1
1801,64,Ba|Cu|O|Y|Zn,1,1,2,4,3,2,3,3,1,1,4,1
1802,79,Fe|Se|Te,4,3,3,0,1,3,4,2,4,0,1,0
1803,1052,Cu|Mn|Zr,1,0,4,4,0,3,3,4,2,2,0,3
1804,1,Ba|Ca|Cu|La|O,0,0,1,3,2,4,1,1,1,3,3,0
1805,1053,Li|Nb|O,0,4,2,3,2,4,4,4,0,3,4,2
1806,49,Ba|Cu|La|O,3,0,2,4,3,0,2,0,1,2,0,3
1807,1054,Be|Mg|Re,3,1,2,2,2,4,4,2,0,2,3,3
1808,1055,Co|Ga|Zr,1,1,3,2,0,1,1,3,3,1,0,1
1809,1056,Ge|In|Sn|Te,2,1,3,1,3,0,2,0,3,4,2,4
1810,64,Ba|Cu|O|Y|Zn,1,1,2,4,3,2,3,0,1,0,4,1
1811,1057,Bi|C|Cu|O|Sr,4,3,3,4,1,2,1,3,2,1,4,4
1812,721,Ga|Nb|Sn,0,2,4,2,3,2,1,1,0,4,0,1
1813,1058,Tc|W,1,2,1,3,4,2,1,1,0,4,2,4
1814,1059,H|Si,4,1,2,3,0,0,2,0,1,4,3,0
1815,54,Nb|Ta,1,2,0,0,3,2,1,1,0,4,2,0
1816,139,Al|B|Mg,1,1,3,4,1,1,2,4,0,3,3,1
1817,10,Cu|La|O|Pb|Sr,3,0,0,3,2,2,0,2,1,0,4,3
1818,1060,As|Fe|Ir|Sr,3,3,1,3,1,3,0,1,0,1,3,1
1819,45,Ca|Cu|La|O,1,2,0,2,3,1,1,2,3,4,3,0
1820,1061,Ba|Ca|Cu|La|O|Pr,0,0,4,1,0,1,4,0,3,0,1,4
1821,167,Ir|Lu|Sc|Si,0,3,2,4,4,3,4,1,3,1,4,2
1822,1062,Ce|Co|In|Yb,3,1,4,2,4,3,3,1,3,1,3,4
1823,11,Ba|Cu|Nd|O,4,1,1,2,1,1,4,3,4,4,3,4
1824,32,Ce|Cu|Gd|Nd|O,4,3,1,4,4,4,1,4,4,2,4,4
1825,139,Al|B|Mg,1,1,3,4,1,1,3,1,3,2,4,1
1826,861,Ba|Cu|O|Y|Zr,1,1,2,0,2,0,0,2,3,0,0,1
1827,980,Ba|Cu|Er|Hf|O,2,1,4,3,0,2,4,2,4,4,1,3
1828,429,Cu|La|Ni|O|Sr,0,4,1,1,3,1,2,0,3,3,0,0
1829,272,B|C|La|Lu|Ni,2,2,4,1,0,4,0,2,2,0,4,3
1830,1063,B|Gd|Rh|Y,2,0,4,1,2,4,0,0,1,3,4,1
1831,232,C|Ho|Th,4,1,4,1,1,1,1,2,1,0,2,1
1832,152,Ba|Cu|O|Sr|Y,2,2,4,0,3,2,1,3,1,1,2,0
1833,1064,Ba|Ca|Cu|Li|O|Si|Tl,1,3,0,4,4,2,1,3,2,0,3,0
1834,1065,La|Pd,2,0,1,0,0,1,2,4,1,1,3,2
1835,431,Sn|V,0,3,4,0,3,0,1,2,2,3,3,1
1836,736,B|Li|Ni|Pd,2,4,1,0,3,1,2,3,1,4,4,4
1837,1066,Au|Ce|Si,0,3,2,2,2,3,1,1,1,4,2,3
1838,22,Ba|Co|Cu|O|Y,3,0,2,2,0,4,4,4,2,4,0,3
1839,74,Ba|Cu|La|O|Y,2,3,3,3,3,1,2,3,2,1,3,2
1840,1067,C|Rh|Ta,2,2,4,2,2,2,2,0,1,1,1,4
1841,591,Fe|Mo,1,4,4,2,0,4,4,4,0,3,4,2
1842,514,Bi|In,3,0,1,2,2,2,0,3,2,0,2,0
1843,1068,B|Be|Mg,2,0,0,2,3,3,2,4,1,2,0,2
1844,12,Ba|Ca|Cu|O|Y,3,3,3,3,4,4,3,4,2,4,1,3
1845,1069,Fe|Se|Tl,4,2,2,0,0,2,0,2,3,2,3,0
1846,142,Br|C|I|Y,2,2,2,0,2,4,3,4,1,4,4,0
1847,1,Ba|Ca|Cu|La|O,0,0,1,3,2,4,4,0,3,2,2,0
1848,182,La|Y,2,0,1,3,4,0,1,3,3,4,4,1
1849,786,B|Ir|Mg,2,4,2,0,3,2,3,3,3,4,0,1
1850,742,Si|V,1,3,3,2,3,0,1,3,0,3,1,2
1851,1070,As|Fe|Gd|O,4,0,0,4,0,4,4,0,3,4,2,1
1852,610,C|Mo,2,1,0,2,2,3,0,1,2,0,4,1
1853,216,Cu|La|O|Sr,4,4,1,1,0,1,3,2,2,3,1,4
1854,24,Cu|La|Mn|O|Sr,4,4,2,4,3,1,0,1,2,0,0,1
1855,10,Cu|La|O|Pb|Sr,3,0,0,3,2,2,0,2,1,4,2,3
1856,1028,Fe|K|S|Se,2,4,1,1,0,0,0,0,4,2,1,0
1857,1071,Si|Y,0,4,1,4,3,2,2,0,1,0,4,1
1858,86,Ba|Cu|O|Y,4,4,4,2,0,4,4,2,4,3,0,4
1859,242,Ba|Cu|La|O|Sr,2,0,1,1,4,2,2,1,3,1,1,4
1860,1072,Nb|Si|V,0,3,4,1,1,3,3,2,4,2,2,2
1861,1073,Cr|Mo,0,2,1,4,2,4,0,3,0,3,4,1
1862,681,Ir|Rh|Te,1,3,0,0,4,0,4,2,3,0,1,2
1863,1,Ba|Ca|Cu|La|O,0,0,1,3,2,4,4,3,1,2,3,0
1864,967,As|F|Fe|Nd|O,3,4,4,3,0,2,2,4,0,4,0,4
1865,158,Ga|Mo,1,1,2,0,3,1,2,3,4,1,4,2
1866,1074,Ir|Ta,2,1,1,2,2,2,1,3,1,2,4,0
1867,1075,Ba|Ca|Cu|Hg|Nd|O,2,3,4,2,1,3,2,4,1,1,2,3
1868,1076,Pb|Sn,3,2,4,1,4,2,1,0,3,2,3,0
1869,817,Ce|Cu|Gd|O|Sm,1,1,0,4,3,4,0,2,3,4,0,2
1870,1077,Ba|Cu|La|O|Zn,0,0,1,0,4,3,0,4,4,4,3,0
1871,907,C|N|Na,1,3,4,0,1,2,4,3,0,2,3,1
1872,1078,Ga|Nb|Ni|Zr,3,0,3,0,4,4,0,3,4,2,3,3
1873,283,Ba|Ca|Cu|La|Mo|Nd|O,3,1,2,2,1,1,4,1,0,1,3,4
1874,145,Ba|Cu|Dy|O,2,1,4,1,3,4,1,3,4,3,3,2
1875,166,Ce|La|Ru,3,4,1,1,0,3,2,1,2,0,0,1
1876,1079,Ca|Cu|Gd|O|Ru|Sr,0,0,2,2,2,2,4,4,4,1,1,4
1877,1080,Al|Mo|Pd,3,2,1,1,4,4,3,2,0,4,0,0
1878,86,Ba|Cu|O|Y,4,4,4,2,0,4,3,3,3,0,2,4
1879,1081,Sb|Si|V,2,0,2,2,3,0,1,1,0,3,1,0
1880,60,As|Fe|La|O|Y,0,3,2,0,3,1,4,4,3,0,4,4
1881,1082,B|Nb|Si,2,2,2,2,0,4,2,2,0,1,3,2
1882,42,Cu|La|O|Sr|Zn,1,2,4,4,3,1,4,1,1,3,3,1
1883,89,In|Pb|Sn|Te,1,2,1,2,3,2,3,1,4,2,2,1
1884,292,Ba|Cu|Fe|O|Y,0,4,0,1,4,3,1,2,1,3,4,4
1885,1083,Ca|Cu|Hg|Mo|O|Sr,0,1,2,0,0,4,4,0,3,4,0,3
1886,1040,Ge|Te,2,4,2,2,1,0,3,2,3,0,2,2
1887,1084,Au|In|Pd|Y,3,0,2,3,4,2,1,4,0,4,3,4
1888,1085,Bi|Ca|Cu|Ni|O|Sr,3,4,2,4,1,3,1,4,1,2,2,0
1889,366,As|Ba|Fe|Ni,0,1,0,4,4,3,2,2,4,4,4,1
1890,1086,As|W,3,1,2,3,4,3,4,0,1,0,1,2
1891,12,Ba|Ca|Cu|O|Y,3,3,3,3,4,4,2,2,3,1,3,3
1892,1087,Ce|Ge|Rh,0,1,1,0,1,2,0,0,2,4,4,1
1893,1088,Ga|In|V,4,2,4,2,1,4,1,0,3,4,4,2
1894,1089,Ta|Ti,1,3,1,0,1,2,2,2,2,4,0,2
1895,187,C|La|Ni|Th,1,2,0,4,3,4,3,3,4,3,0,3
1896,1090,Al|B|Nb,3,4,3,2,2,0,4,0,3,4,3,0
1897,759,Bi|Ca|Ce|Cu|O|Sr,1,2,3,2,1,0,4,0,4,1,4,4
1898,1091,As|Nb|Sn,0,2,2,3,2,1,3,0,0,4,3,1
1899,323,B|Mg|Na,0,4,2,1,3,0,0,2,4,3,0,3
1900,431,Sn|V,0,3,4,0,3,0,1,3,2,4,0,1
1901,1092,Ce|Gd|Ru,2,3,3,1,1,4,4,4,0,1,0,0
1902,1093,Hg|Li,3,0,2,4,1,3,3,0,3,1,2,3
1903,449,B|C|Co|Ho|Ni,4,4,3,4,3,0,4,0,2,3,1,3
1904,956,Ba|Cu|Eu|O|Pr,0,4,4,1,3,3,1,1,3,1,4,3
1905,938,As|Fe|La|O|Zn,2,0,3,4,1,4,3,2,4,1,2,4
1906,236,Ba|Cu|O|Tm,4,3,1,0,0,1,0,1,1,4,0,3
1907,44,Cu|La|Nd|O|Sr,3,0,2,3,4,2,3,2,4,0,1,0
1908,1037,As|Ce|Co|Fe|H,1,1,2,3,0,2,3,4,2,4,1,3
1909,1094,Be|Ru,2,0,1,3,2,1,4,1,4,2,2,0
1910,139,Al|B|Mg,1,1,3,4,1,1,1,1,0,3,3,1
1911,263,Ga|Nb,3,0,4,0,0,4,0,0,0,0,2,4
1912,205,Ba|Ca|Cu|Gd|In|La|O|Sr,3,2,0,3,1,4,1,0,0,1,1,4
1913,1095,B|Sc,3,0,4,0,2,4,4,2,2,3,1,2
1914,1096,Cs|Fe|Se,4,2,4,3,2,2,0,3,3,0,3,2
1915,1097,Er|Pd|Sn|Y,0,2,3,0,0,4,0,0,0,0,1,4
1916,383,Al|Nb|Sn,3,2,0,2,4,4,1,1,3,1,0,0
1917,1098,As|Eu|Fe|P,4,0,1,2,3,2,1,1,4,4,4,2
1918,570,In|Sn|Te,4,0,3,1,2,1,4,2,3,1,1,4
1919,1099,Ba|Ca|Co|Cu|Er|O|Sr,4,0,4,4,0,1,3,2,0,3,1,2
1920,45,Ca|Cu|La|O,1,2,0,2,3,1,1,4,1,0,0,0
1921,1100,As|Ba|Fe|P,1,0,1,4,3,0,0,2,2,0,2,3
1922,1101,Cr|Fe|K|Se,0,1,3,0,3,0,2,2,3,2,0,1
1923,1102,Ag|La,0,3,1,0,1,4,4,4,3,3,1,0
1924,1103,P|Rh|Ru,1,1,3,2,4,4,4,1,0,1,0,2
1925,840,Ba|Cu|Nd|O|Sr,2,1,1,1,2,2,4,1,3,2,1,3
1926,65,Ba|Bi|K|O,3,2,0,2,0,0,2,3,4,3,0,3
1927,1104,Ca|Cu|Ho|O|Pb|Sr,1,4,1,1,2,4,2,3,1,0,1,0
1928,64,Ba|Cu|O|Y|Zn,1,1,2,4,3,2,1,2,2,0,1,1
1929,119,As|F|Fe|La|O,3,1,1,1,3,4,4,1,1,4,2,2
1930,680,Al|Pd|U,0,4,1,4,1,4,3,0,1,2,1,3
1931,1105,Mo|Pr|S,3,1,2,3,1,4,1,3,2,1,4,4
1932,192,Nb|Ta|Ti,2,0,0,2,0,4,4,0,0,4,2,0
1933,79,Fe|Se|Te,4,3,3,0,1,3,2,0,2,4,4,0
1934,1106,B|Rh|Y,4,1,4,0,3,3,3,4,0,2,4,3
1935,1107,Cu|S|Se,4,4,4,1,1,1,3,1,1,2,1,4
1936,507,Ba|Cu|H|O|Y,2,1,2,4,1,2,1,0,0,4,2,2
1937,1108,Ce|Cu|O|Pr,2,0,2,2,4,1,3,0,4,3,3,0
1938,366,As|Ba|Fe|Ni,0,1,0,4,4,3,4,2,3,3,3,1
1939,1109,Be|Ir,0,0,2,4,1,0,1,0,0,3,1,1
1940,473,Ba|Ca|Cu|O|Sr|Yb,2,2,0,1,4,2,1,4,4,0,0,2
1941,395,Ba|Bi|K|O|Pr,3,3,3,4,4,3,0,0,3,0,3,4
1942,968,Be|Cu,1,3,1,3,4,0,1,3,1,2,2,2
1943,242,Ba|Cu|La|O|Sr,2,0,1,1,4,2,1,3,4,3,4,4
1944,605,Ba|Cu|O|Pr|Sr|Yb,1,4,0,3,1,2,1,1,1,1,0,4
1945,1110,Fe|H|Li|Se,1,0,4,3,2,0,3,1,0,1,4,0
1946,1111,Cu|La|O|Sr|Y,2,4,4,1,0,4,1,1,0,2,1,4
1947,339,Ir|Zr,1,3,3,2,0,4,3,1,2,1,0,4
1948,97,As|Co|Eu|Fe|Sr,2,1,3,4,1,3,2,4,0,1,3,0
1949,1112,B|C|Co|Dy|Ni,4,4,2,4,2,1,2,2,3,4,2,3
1950,1113,Ca|Cu|O|Sr|Th|Tl,2,4,4,3,0,1,4,2,1,4,4,0
1951,1114,B|Nb|Ru,3,0,1,0,4,2,3,2,3,1,3,3
1952,888,As|Co|Fe|Sr,1,4,2,2,1,2,2,4,3,4,2,2
1953,1115,Ba|Cu|Er|O|Sr,4,2,2,3,1,0,1,0,4,4,2,2
1954,190,La|Th,4,2,1,4,3,4,2,1,3,3,3,1
1955,669,Cu|Se|Ti,1,3,2,3,1,1,1,1,3,4,0,1
1956,1116,Ge|Pd|Si|Sr,2,2,3,0,3,1,3,0,0,3,2,0
1957,1017,Ba|Ca|Cu|Lu|O,1,0,2,3,3,0,1,4,1,2,3,4
1958,343,As|Ca|Fe|Pt,0,4,4,2,2,3,1,0,1,0,2,1
1959,469,Ba|Ca|Cu|Gd|Hf|O,4,4,4,3,0,2,2,0,1,2,0,1
1960,211,Mo|U,1,2,2,1,0,3,2,2,3,4,1,0
1961,684,Ba|Ca|Cu|Hg|O,0,1,4,0,4,3,0,0,4,2,4,4
1962,1117,Cd|Hg,0,2,0,4,0,2,4,2,1,3,3,4
1963,817,Ce|Cu|Gd|O|Sm,1,1,0,4,3,4,4,0,2,3,2,2
1964,286,Ba|Cu|O|Pr|Y,3,1,2,0,3,0,4,3,2,0,3,3
1965,1118,Ce|Cu|Nd|O|Zn,3,0,2,0,3,2,2,4,3,3,1,2
1966,1119,Co|Rh|U,0,2,3,4,1,3,4,0,2,0,2,1
1967,1120,Cr|Rh,4,2,0,3,0,0,4,0,4,2,4,0
1968,12,Ba|Ca|Cu|O|Y,3,3,3,3,4,4,4,4,2,0,2,3
1969,153,Ba|Cu|Ni|O|Y,1,4,4,4,2,1,0,4,1,0,1,1
1970,1121,Lu|Pb|Pd,1,3,4,3,3,2,0,3,2,0,3,0
1971,869,C|Ge|Y,1,4,4,4,2,2,4,2,0,3,0,4
1972,1122,Ba|Ca|Cu|Fe|O|Tl,2,1,2,4,0,1,1,1,2,2,4,4
1973,605,Ba|Cu|O|Pr|Sr|Yb,1,4,0,3,1,2,4,1,4,4,4,4
1974,752,Gd|La|Sn,4,1,3,2,2,4,2,2,3,4,2,0
1975,1123,Cr|Ti,1,3,2,0,1,1,2,1,0,1,1,1
1976,1124,Mo|Se|Sn,1,3,2,0,2,2,2,4,2,0,0,4
1977,1125,Al|Au|Ga,1,3,2,1,1,0,1,2,3,1,1,3
1978,1126,Nb|Si|Ti,2,2,1,4,2,2,0,3,0,2,0,2
1979,11,Ba|Cu|Nd|O,4,1,1,2,1,1,2,4,4,2,2,4
1980,1127,Al|Ti|V,0,1,3,0,0,2,3,4,1,1,2,2
1981,1128,Ga|Ge|Sr,3,3,1,1,2,3,4,3,4,3,3,0
1982,604,Ga|Si|V,3,4,2,4,0,1,2,4,2,1,1,3
1983,11,Ba|Cu|Nd|O,4,1,1,2,1,1,2,4,4,1,2,4
1984,333,C|Er|Th,4,0,4,2,3,0,0,1,4,4,3,1
1985,1129,B|C|Gd|Lu|Ni,1,0,1,3,3,3,1,3,0,3,0,3
1986,286,Ba|Cu|O|Pr|Y,3,1,2,0,3,0,1,0,1,3,2,3
1987,507,Ba|Cu|H|O|Y,2,1,2,4,1,2,3,0,0,0,1,2
1988,92,As|Ba|Co|Fe|Mn,0,0,4,4,2,2,2,0,0,2,2,2
1989,22,Ba|Co|Cu|O|Y,3,0,2,2,0,4,3,0,4,2,4,3
1990,79,Fe|Se|Te,4,3,3,0,1,3,3,0,1,0,4,0
1991,1130,C|Ge|La,4,4,3,1,0,3,3,2,3,0,1,2
1992,684,Ba|Ca|Cu|Hg|O,0,1,4,0,4,3,0,2,2,0,1,4
1993,292,Ba|Cu|Fe|O|Y,0,4,0,1,4,3,2,1,1,0,4,4
1994,251,Mo|Ti,2,1,3,3,4,3,1,3,3,0,0,0
1995,1131,Ba|Ca|Cu|Li|O|Tl,0,4,0,1,2,0,1,1,3,3,3,3
1996,510,Ba|Cu|O|Yb,2,3,1,1,1,1,3,4,1,1,3,1
1997,1132,B|Mg|Sc,0,2,0,3,1,2,0,4,1,4,0,4
1998,689,Ba|Bi|K|O|Pb,1,2,1,2,1,3,3,2,2,1,2,0
1999,557,As|Ca|Fe|Na,0,1,1,0,0,3,1,2,0,0,1,3
2000,703,C|Mg|Ni,3,1,1,4,1,0,2,0,1,2,3,2
2001,216,Cu|La|O|Sr,4,4,1,1,0,1,2,1,3,3,2,4
2002,1133,Ga|Ir,1,4,4,2,2,0,1,4,2,1,4,4
2003,196,La|Os|Pr|Sb,0,0,1,4,4,4,4,4,0,2,0,3
2004,1134,Ba|Ca|Cu|Ga|O|Sr|Y,4,4,2,0,3,2,0,2,1,0,4,4
2005,1135,Co|Rh|Sn|Tm,3,2,1,3,3,4,3,0,1,0,4,0
2006,204,Cu|La|O|Pr|Sr,1,1,2,0,1,0,1,3,1,4,0,0
2007,1136,Mo|Se,2,1,1,1,0,1,0,1,3,3,3,3
2008,1137,Ca|Cl|Cu|Na|O,2,2,4,3,3,0,3,1,0,0,1,1
2009,1044,Fe|Rb|Se|Tl,4,0,0,2,1,3,1,3,3,2,3,4
2010,1,Ba|Ca|Cu|La|O,0,0,1,3,2,4,3,1,3,1,1,0
2011,1138,Tl|Y,2,1,0,4,4,4,2,2,2,3,2,0
